Year of Birth,Gender,Ethnicity,Child's First Name,Count,Rank
2011,FEMALE,HISPANIC,KAYLEIGH,10,78
2011,FEMALE,HISPANIC,KAYLIE,15,73
2011,FEMALE,HISPANIC,KAYLIN,12,76
2011,FEMALE,HISPANIC,KEILY,17,71
2011,FEMALE,HISPANIC,KELLY,41,48
2011,FEMALE,HISPANIC,KEYLA,12,76
2011,FEMALE,HISPANIC,KHLOE,57,35
2011,FEMALE,HISPANIC,KIARA,36,53
2011,FEMALE,HISPANIC,KIMBERLY,103,13
2011,FEMALE,HISPANIC,KRYSTAL,13,75
2011,FEMALE,HISPANIC,KYLEE,10,78
2011,FEMALE,HISPANIC,KYLIE,37,52
2011,FEMALE,HISPANIC,LAILA,29,59
2011,FEMALE,HISPANIC,LAURA,14,74
2011,FEMALE,HISPANIC,LAUREN,21,67
2011,FEMALE,HISPANIC,LAYLA,52,39
2011,FEMALE,HISPANIC,LEA,10,78
2011,FEMALE,HISPANIC,LEAH,123,9
2011,FEMALE,HISPANIC,LEILA,20,68
2011,FEMALE,HISPANIC,LEILANI,33,55
2011,FEMALE,HISPANIC,LESLEY,12,76
2011,FEMALE,HISPANIC,LESLIE,66,27
2011,FEMALE,HISPANIC,LESLY,16,72
2011,FEMALE,HISPANIC,LEYLA,10,78
2011,FEMALE,HISPANIC,LIA,26,62
2011,FEMALE,HISPANIC,LIANA,18,70
2011,FEMALE,HISPANIC,LILIANA,28,60
2011,FEMALE,HISPANIC,LILY,21,67
2011,FEMALE,HISPANIC,LINDSAY,12,76
2011,FEMALE,HISPANIC,LIZBETH,30,58
2011,FEMALE,HISPANIC,LONDON,27,61
2011,FEMALE,HISPANIC,LUCIA,20,68
2011,FEMALE,HISPANIC,LUNA,24,64
2011,FEMALE,HISPANIC,LUZ,25,63
2011,FEMALE,HISPANIC,MADELINE,15,73
2011,FEMALE,HISPANIC,MADELYN,16,72
2011,FEMALE,HISPANIC,MADISON,122,10
2011,FEMALE,HISPANIC,MAKAYLA,32,56
2011,FEMALE,HISPANIC,MARIA,59,34
2011,FEMALE,HISPANIC,MARIAH,33,55
2011,FEMALE,HISPANIC,MARIANA,12,76
2011,FEMALE,HISPANIC,MARILYN,10,78
2011,FEMALE,HISPANIC,MARISOL,10,78
2011,FEMALE,HISPANIC,MAYA,49,42
2011,FEMALE,HISPANIC,MEGAN,11,77
2011,FEMALE,HISPANIC,JENNIFER,109,12
2011,FEMALE,HISPANIC,MELANY,14,74
2011,FEMALE,HISPANIC,MELISSA,50,41
2011,FEMALE,HISPANIC,MELODY,23,65
2011,FEMALE,HISPANIC,MIA,229,2
2011,FEMALE,HISPANIC,MIAH,17,71
2011,FEMALE,HISPANIC,MICHELLE,51,40
2011,FEMALE,HISPANIC,MIKAELA,14,74
2011,FEMALE,HISPANIC,JENNIFER,26,62
2011,FEMALE,HISPANIC,MILA,19,69
2011,FEMALE,HISPANIC,MILEY,17,71
2011,FEMALE,HISPANIC,MIRANDA,11,77
2011,FEMALE,HISPANIC,MIRIAM,11,77
2011,FEMALE,HISPANIC,MYA,29,59
2011,FEMALE,HISPANIC,NADIA,14,74
2011,FEMALE,HISPANIC,NANCY,10,78
2011,FEMALE,HISPANIC,NAOMI,22,66
2011,FEMALE,HISPANIC,NATALIA,50,41
2011,FEMALE,HISPANIC,JENNIFER,46,44
2011,FEMALE,HISPANIC,NATALY,13,75
2011,FEMALE,HISPANIC,NATASHA,11,77
2011,FEMALE,HISPANIC,NATHALIA,10,78
2011,FEMALE,HISPANIC,NATHALIE,26,62
2011,FEMALE,HISPANIC,NATHALY,20,68
2011,FEMALE,HISPANIC,NAYELI,17,71
2011,FEMALE,HISPANIC,JENNIFER,32,56
2011,FEMALE,HISPANIC,NICOLE,71,25
2011,FEMALE,HISPANIC,NINA,11,77
2011,FEMALE,HISPANIC,NINA,11,77
2011,FEMALE,HISPANIC,NINA,16,72
2011,FEMALE,HISPANIC,NINA,86,18
2011,FEMALE,HISPANIC,NINA,10,78
2011,FEMALE,HISPANIC,NINA,14,74
2011,FEMALE,HISPANIC,NINA,12,76
2011,FEMALE,HISPANIC,NINA,25,63
2011,FEMALE,HISPANIC,NINA,11,77
2011,FEMALE,HISPANIC,NINA,10,78
2011,FEMALE,HISPANIC,NINA,21,67
2011,FEMALE,HISPANIC,RILEY,12,76
2011,FEMALE,HISPANIC,ROSA,10,78
2011,FEMALE,HISPANIC,ROSE,11,77
2011,FEMALE,HISPANIC,ROSELYN,16,72
2011,FEMALE,HISPANIC,RUBY,20,68
2011,FEMALE,HISPANIC,SABRINA,25,63
2011,FEMALE,HISPANIC,SADIE,11,77
2011,FEMALE,HISPANIC,SAMANTHA,100,14
2011,FEMALE,HISPANIC,SAMARA,12,76
2011,FEMALE,HISPANIC,NICOLE,29,59
2011,FEMALE,HISPANIC,SARAH,53,38
2011,FEMALE,HISPANIC,SARAI,24,64
2011,FEMALE,HISPANIC,SARIAH,10,78
2011,FEMALE,HISPANIC,SASHA,10,78
2011,FEMALE,HISPANIC,SAVANNA,10,78
2011,FEMALE,HISPANIC,SAVANNAH,38,51
2011,FEMALE,HISPANIC,SCARLET,29,59
2011,FEMALE,HISPANIC,SCARLETT,65,28
2011,FEMALE,HISPANIC,SELENA,15,73
2011,FEMALE,HISPANIC,SERENITY,37,52
2011,FEMALE,HISPANIC,SHERLYN,13,75
2011,FEMALE,HISPANIC,SHIRLEY,15,73
2011,FEMALE,HISPANIC,SIENNA,17,71
2011,FEMALE,HISPANIC,SKYLA,21,67
2011,FEMALE,HISPANIC,SKYLAR,12,76
2011,FEMALE,HISPANIC,NICOLE,165,6
2011,FEMALE,HISPANIC,SOPHIA,223,3
2011,FEMALE,HISPANIC,SOPHIE,12,76
2011,FEMALE,HISPANIC,STACY,10,78
2011,FEMALE,HISPANIC,STELLA,11,77
2011,FEMALE,HISPANIC,STEPHANIE,50,41
2011,FEMALE,HISPANIC,STEPHANY,11,77
2011,FEMALE,HISPANIC,TATIANA,11,77
2011,FEMALE,HISPANIC,TAYLOR,13,75
2011,FEMALE,HISPANIC,TIANA,11,77
2011,FEMALE,HISPANIC,TIFFANY,24,64
2011,FEMALE,HISPANIC,VALENTINA,85,19
2011,FEMALE,HISPANIC,VALERIA,45,45
2011,FEMALE,HISPANIC,VALERIE,53,38
2011,FEMALE,HISPANIC,VANESSA,42,47
2011,FEMALE,HISPANIC,VERONICA,10,78
2011,FEMALE,HISPANIC,VICTORIA,114,11
2011,FEMALE,HISPANIC,VIOLET,14,74
2011,FEMALE,HISPANIC,VIVIANA,11,77
2011,FEMALE,HISPANIC,WENDY,12,76
2011,FEMALE,HISPANIC,NICOLE,18,70
2011,FEMALE,HISPANIC,YAMILET,11,77
2011,FEMALE,HISPANIC,YARETZI,22,66
2011,FEMALE,HISPANIC,ZOE,65,28
2011,FEMALE,HISPANIC,ZOEY,27,61
2011,FEMALE,WHITE NON HISPANIC,ABIGAIL,103,19
2011,FEMALE,WHITE NON HISPANIC,ADDISON,19,72
2011,FEMALE,WHITE NON HISPANIC,ADELE,22,69
2011,FEMALE,WHITE NON HISPANIC,ADELINE,12,79
2011,FEMALE,WHITE NON HISPANIC,ADINA,19,72
2011,FEMALE,WHITE NON HISPANIC,ADRIANA,29,62
2011,FEMALE,WHITE NON HISPANIC,ADRIANNA,18,73
2011,FEMALE,WHITE NON HISPANIC,AHUVA,16,75
2011,FEMALE,WHITE NON HISPANIC,ALESSANDRA,20,71
2011,FEMALE,WHITE NON HISPANIC,ALESSIA,14,77
2011,FEMALE,WHITE NON HISPANIC,ALEXA,54,40
2011,FEMALE,WHITE NON HISPANIC,ALICE,109,17
2011,FEMALE,WHITE NON HISPANIC,ALICE,27,64
2011,FEMALE,WHITE NON HISPANIC,ALICE,50,43
2011,FEMALE,WHITE NON HISPANIC,ALICIA,11,80
2011,FEMALE,WHITE NON HISPANIC,ALINA,11,80
2011,FEMALE,WHITE NON HISPANIC,ALISA,14,77
2011,FEMALE,WHITE NON HISPANIC,ALIZA,22,69
2011,FEMALE,WHITE NON HISPANIC,ALLISON,15,76
2011,FEMALE,WHITE NON HISPANIC,ALYSSA,28,63
2011,FEMALE,WHITE NON HISPANIC,AMANDA,15,76
2011,FEMALE,WHITE NON HISPANIC,AMELIA,62,37
2011,FEMALE,WHITE NON HISPANIC,ANNABEL,15,76
2011,FEMALE,WHITE NON HISPANIC,ANNABEL,17,74
2011,FEMALE,WHITE NON HISPANIC,AMIRA,11,80
2011,FEMALE,WHITE NON HISPANIC,AMY,11,80
2011,FEMALE,WHITE NON HISPANIC,ANASTASIA,19,72
2011,FEMALE,WHITE NON HISPANIC,ANGELICA,10,81
2011,FEMALE,WHITE NON HISPANIC,ANGELINA,50,43
2011,FEMALE,WHITE NON HISPANIC,ANNA,85,25
2011,FEMALE,WHITE NON HISPANIC,ANNABEL,14,77
2011,FEMALE,WHITE NON HISPANIC,ANNABELLE,27,64
2011,FEMALE,WHITE NON HISPANIC,ARIANA,27,64
2011,FEMALE,WHITE NON HISPANIC,ARIELLA,28,63
2011,FEMALE,WHITE NON HISPANIC,ARIELLA,14,77
2011,FEMALE,WHITE NON HISPANIC,ARIELLA,10,81
2011,FEMALE,WHITE NON HISPANIC,ARIELLA,26,65
2011,FEMALE,WHITE NON HISPANIC,ASHLEY,20,71
2011,FEMALE,WHITE NON HISPANIC,ATARA,10,81
2011,FEMALE,WHITE NON HISPANIC,AUBREY,10,81
2011,FEMALE,WHITE NON HISPANIC,AUDREY,26,65
2011,FEMALE,WHITE NON HISPANIC,AUTUMN,10,81
2011,FEMALE,WHITE NON HISPANIC,AVA,162,8
2011,FEMALE,WHITE NON HISPANIC,AVERY,52,41
2011,FEMALE,WHITE NON HISPANIC,AVIGAIL,11,80
2011,FEMALE,WHITE NON HISPANIC,AVIVA,18,73
2011,FEMALE,WHITE NON HISPANIC,AYLA,10,81
2011,FEMALE,WHITE NON HISPANIC,BAILA,40,51
2011,FEMALE,WHITE NON HISPANIC,BARBARA,12,79
2011,FEMALE,WHITE NON HISPANIC,BATSHEVA,20,71
2011,FEMALE,WHITE NON HISPANIC,BATYA,15,76
2011,FEMALE,WHITE NON HISPANIC,BEATRICE,33,58
2011,FEMALE,WHITE NON HISPANIC,BROOKE,22,69
2011,FEMALE,WHITE NON HISPANIC,BROOKE,10,81
2011,FEMALE,WHITE NON HISPANIC,BLAKE,14,77
2011,FEMALE,WHITE NON HISPANIC,BLIMA,20,71
2011,FEMALE,WHITE NON HISPANIC,BLIMY,23,68
2011,FEMALE,WHITE NON HISPANIC,BRACHA,24,67
2011,FEMALE,WHITE NON HISPANIC,BREINDY,15,76
2011,FEMALE,WHITE NON HISPANIC,BRIANNA,32,59
2011,FEMALE,WHITE NON HISPANIC,BROOKE,14,77
2011,FEMALE,WHITE NON HISPANIC,BROOKE,33,58
2011,FEMALE,WHITE NON HISPANIC,BROOKE,15,76
2011,FEMALE,WHITE NON HISPANIC,BRUCHA,19,72
2011,FEMALE,WHITE NON HISPANIC,BRUCHY,13,78
2011,FEMALE,WHITE NON HISPANIC,BRYNN,14,77
2011,FEMALE,WHITE NON HISPANIC,CAITLIN,11,80
2011,FEMALE,WHITE NON HISPANIC,CAMERON,11,80
2011,FEMALE,WHITE NON HISPANIC,CAROLINE,52,41
2011,FEMALE,WHITE NON HISPANIC,CASEY,12,79
2011,FEMALE,WHITE NON HISPANIC,CATHERINE,33,58
2011,FEMALE,WHITE NON HISPANIC,CECILIA,16,75
2011,FEMALE,WHITE NON HISPANIC,CELIA,10,81
2011,FEMALE,WHITE NON HISPANIC,CHANA,132,10
2011,FEMALE,WHITE NON HISPANIC,CHANY,38,53
2011,FEMALE,WHITE NON HISPANIC,CHARLIE,14,77
2011,FEMALE,WHITE NON HISPANIC,CHARLOTTE,127,12
2011,FEMALE,WHITE NON HISPANIC,CHAVA,46,46
2011,FEMALE,WHITE NON HISPANIC,CHAVY,10,81
2011,FEMALE,WHITE NON HISPANIC,CHAYA,178,5
2011,FEMALE,WHITE NON HISPANIC,CHLOE,95,22
2011,FEMALE,WHITE NON HISPANIC,CHRISTINA,14,77
2011,FEMALE,WHITE NON HISPANIC,CLAIRE,35,56
2011,FEMALE,WHITE NON HISPANIC,CLARA,28,63
2011,FEMALE,WHITE NON HISPANIC,COLETTE,14,77
2011,FEMALE,WHITE NON HISPANIC,CORA,10,81
2011,FEMALE,WHITE NON HISPANIC,DAHLIA,15,76
2011,FEMALE,WHITE NON HISPANIC,DAISY,13,78
2011,FEMALE,WHITE NON HISPANIC,DALIA,10,81
2011,FEMALE,WHITE NON HISPANIC,DANIELA,13,78
2011,FEMALE,WHITE NON HISPANIC,DANIELLA,41,50
2011,FEMALE,WHITE NON HISPANIC,DANIELLE,15,76
2011,FEMALE,WHITE NON HISPANIC,DEVORA,17,74
2011,FEMALE,WHITE NON HISPANIC,DEVORAH,44,48
2011,FEMALE,WHITE NON HISPANIC,DIANA,13,78
2011,FEMALE,WHITE NON HISPANIC,DINA,41,50
2011,FEMALE,WHITE NON HISPANIC,LAURA,20,71
2011,FEMALE,WHITE NON HISPANIC,EDEN,24,67
2011,FEMALE,WHITE NON HISPANIC,ELEANOR,39,52
2011,FEMALE,WHITE NON HISPANIC,ELENA,19,72
2011,FEMALE,WHITE NON HISPANIC,ELIANA,36,55
2011,FEMALE,WHITE NON HISPANIC,ELISE,13,78
2011,FEMALE,WHITE NON HISPANIC,ELISHEVA,14,77
2011,FEMALE,WHITE NON HISPANIC,ELIZA,25,66
2011,FEMALE,WHITE NON HISPANIC,ELIZABETH,100,21
2011,FEMALE,WHITE NON HISPANIC,ELLA,127,12
2011,FEMALE,WHITE NON HISPANIC,ELLE,17,74
2011,FEMALE,WHITE NON HISPANIC,ELLIANA,11,80
2011,FEMALE,WHITE NON HISPANIC,ELLIE,26,65
2011,FEMALE,WHITE NON HISPANIC,ELOISE,24,67
2011,FEMALE,WHITE NON HISPANIC,EMERSON,16,75
2011,FEMALE,WHITE NON HISPANIC,EMILIA,33,58
2011,FEMALE,WHITE NON HISPANIC,EMILY,119,14
2011,FEMALE,WHITE NON HISPANIC,EMMA,213,2
2011,FEMALE,WHITE NON HISPANIC,ERIN,15,76
2011,FEMALE,WHITE NON HISPANIC,ESTER,14,77
2011,FEMALE,WHITE NON HISPANIC,ESTHER,224,1
2011,FEMALE,WHITE NON HISPANIC,ESTY,18,73
2011,FEMALE,WHITE NON HISPANIC,ETTY,15,76
2011,FEMALE,WHITE NON HISPANIC,EVA,64,35
2011,FEMALE,WHITE NON HISPANIC,EVE,22,69
2011,FEMALE,WHITE NON HISPANIC,EVELYN,39,52
2011,FEMALE,WHITE NON HISPANIC,FAIGA,16,75
2011,FEMALE,WHITE NON HISPANIC,FAIGY,72,30
2011,FEMALE,WHITE NON HISPANIC,FINLEY,11,80
2011,FEMALE,WHITE NON HISPANIC,FIONA,30,61
2011,FEMALE,WHITE NON HISPANIC,FRADEL,16,75
2011,FEMALE,WHITE NON HISPANIC,FRAIDY,26,65
2011,FEMALE,WHITE NON HISPANIC,FRANCESCA,33,58
2011,FEMALE,WHITE NON HISPANIC,FRIMET,10,81
2011,FEMALE,WHITE NON HISPANIC,GABRIELA,19,72
2011,FEMALE,WHITE NON HISPANIC,GABRIELLA,102,20
2011,FEMALE,WHITE NON HISPANIC,GABRIELLE,15,76
2011,FEMALE,WHITE NON HISPANIC,GEMMA,15,76
2011,FEMALE,WHITE NON HISPANIC,GENEVIEVE,12,79
2011,FEMALE,WHITE NON HISPANIC,GEORGIA,26,65
2011,FEMALE,WHITE NON HISPANIC,GIA,26,65
2011,FEMALE,WHITE NON HISPANIC,GIANNA,68,33
2011,FEMALE,WHITE NON HISPANIC,GIOVANNA,10,81
2011,FEMALE,WHITE NON HISPANIC,GITTEL,23,68
2011,FEMALE,WHITE NON HISPANIC,GITTY,82,27
2011,FEMALE,WHITE NON HISPANIC,GIULIANA,41,50
2011,FEMALE,WHITE NON HISPANIC,KATE,14,77
2011,FEMALE,WHITE NON HISPANIC,GOLDY,33,58
2011,FEMALE,WHITE NON HISPANIC,KATE,93,24
2011,FEMALE,WHITE NON HISPANIC,KATE,12,79
2011,FEMALE,WHITE NON HISPANIC,HADASSA,11,80
2011,FEMALE,WHITE NON HISPANIC,HADASSAH,15,76
2011,FEMALE,WHITE NON HISPANIC,HAILEY,34,57
2011,FEMALE,WHITE NON HISPANIC,GIULIANA,11,80
2011,FEMALE,WHITE NON HISPANIC,HANNAH,71,31
2011,FEMALE,WHITE NON HISPANIC,LAURA,30,61
2011,FEMALE,WHITE NON HISPANIC,HAZEL,18,73
2011,FEMALE,WHITE NON HISPANIC,KATE,18,73
2011,FEMALE,WHITE NON HISPANIC,EMILY,37,54
2011,FEMALE,WHITE NON HISPANIC,IDY,10,81
2011,FEMALE,WHITE NON HISPANIC,ILANA,10,81
2011,FEMALE,WHITE NON HISPANIC,GIULIANA,34,57
2011,FEMALE,WHITE NON HISPANIC,KATE,160,9
2011,FEMALE,WHITE NON HISPANIC,ISABELLE,25,66
2011,FEMALE,WHITE NON HISPANIC,ISLA,14,77
2011,FEMALE,WHITE NON HISPANIC,IVY,15,76
2011,FEMALE,WHITE NON HISPANIC,IZABELLA,10,81
2011,FEMALE,WHITE NON HISPANIC,JACQUELINE,20,71
2011,FEMALE,WHITE NON HISPANIC,JANE,27,64
2011,FEMALE,WHITE NON HISPANIC,GIULIANA,14,77
2011,FEMALE,WHITE NON HISPANIC,JANE,22,69
2011,FEMALE,WHITE NON HISPANIC,JANE,22,69
2011,FEMALE,WHITE NON HISPANIC,JORDYN,11,80
2011,FEMALE,WHITE NON HISPANIC,JOSEPHINE,33,58
2011,FEMALE,WHITE NON HISPANIC,EMILY,14,77
2011,FEMALE,WHITE NON HISPANIC,JULIA,116,15
2011,FEMALE,WHITE NON HISPANIC,JANE,38,53
2011,FEMALE,WHITE NON HISPANIC,JULIANNA,28,63
2011,FEMALE,WHITE NON HISPANIC,GIULIANA,10,81
2011,FEMALE,WHITE NON HISPANIC,JULIET,36,55
2011,FEMALE,WHITE NON HISPANIC,JULIETTE,23,68
2011,FEMALE,WHITE NON HISPANIC,KAITLYN,17,74
2011,FEMALE,HISPANIC,ARELY,12,76
2011,FEMALE,WHITE NON HISPANIC,KATE,17,74
2011,FEMALE,WHITE NON HISPANIC,KATHERINE,44,48
2011,FEMALE,WHITE NON HISPANIC,KATHRYN,12,79
2011,FEMALE,WHITE NON HISPANIC,KAYLA,45,47
2011,FEMALE,WHITE NON HISPANIC,EMILY,11,80
2011,FEMALE,WHITE NON HISPANIC,KIRA,11,80
2011,FEMALE,WHITE NON HISPANIC,KYLIE,13,78
2011,FEMALE,WHITE NON HISPANIC,LAILA,23,68
2011,FEMALE,WHITE NON HISPANIC,LARA,13,78
2011,FEMALE,WHITE NON HISPANIC,LAURA,18,73
2011,FEMALE,WHITE NON HISPANIC,LAUREN,26,65
